n,alg,h,cf,time,value
9,mclink,3,normal,0.012956857681274414,270.08085332567595
3,bruteforce,3,modified_normal,9.655952453613281e-05,139.66068183172462
3,mclink,3,modified_normal,0.002520322799682617,139.66068183172462
4,bruteforce,3,modified_normal,0.0006911754608154297,212.93353879933
4,mclink,3,modified_normal,0.0029680728912353516,212.93353879933002
5,bruteforce,3,modified_normal,0.006639957427978516,268.31232946967634
5,mclink,3,modified_normal,0.0038826465606689453,196.6004217701735
6,bruteforce,3,modified_normal,0.0743403434753418,370.9207648526659
6,mclink,3,modified_normal,0.0050656795501708984,292.20063618372615
7,bruteforce,3,modified_normal,0.9057238101959229,453.5513666936158
7,mclink,3,modified_normal,0.00830388069152832,425.1579888573643
8,bruteforce,3,modified_normal,12.035565853118896,505.52899423333474
8,mclink,3,modified_normal,0.007995128631591797,395.83723907982824
9,bruteforce,3,modified_normal,177.47395777702332,593.5430204943493
9,mclink,3,modified_normal,0.011951208114624023,529.7508923392049
3,bruteforce,3,agent_based_normal,8.96453857421875e-05,90.02339599136758
3,mclink,3,agent_based_normal,0.002521514892578125,90.02339599136758
4,bruteforce,3,agent_based_normal,0.0006690025329589844,120.01372532468787
4,mclink,3,agent_based_normal,0.004854440689086914,120.01372532468788
5,bruteforce,3,agent_based_normal,0.0064585208892822266,150.0898941565945
5,mclink,3,agent_based_normal,0.0038449764251708984,150.0283381651687
6,bruteforce,3,agent_based_normal,0.072418212890625,180.13737742496733
6,mclink,3,agent_based_normal,0.005784749984741211,180.12019380897596
7,bruteforce,3,agent_based_normal,0.9380135536193848,210.00092063385628
7,mclink,3,agent_based_normal,0.007965326309204102,209.92967855606994
8,bruteforce,3,agent_based_normal,12.04165506362915,240.34821863245023
8,mclink,3,agent_based_normal,0.011521100997924805,240.2716975773415
9,bruteforce,3,agent_based_normal,178.23348021507263,270.46146188956914
9,mclink,3,agent_based_normal,0.012832880020141602,270.371847210334
3,bruteforce,3,ndcs,9.632110595703125e-05,8.78761125002138
3,mclink,3,ndcs,0.002542734146118164,8.78761125002138
4,bruteforce,3,ndcs,0.0006959438323974609,16.000056845633793
4,mclink,3,ndcs,0.003177642822265625,14.755596506375927
5,bruteforce,3,ndcs,0.0066356658935546875,32.757282179672714
5,mclink,3,ndcs,0.004559040069580078,19.572273923442197
6,bruteforce,3,ndcs,0.07257413864135742,39.263457976704586
6,mclink,3,ndcs,0.00481724739074707,27.118782361305882
7,bruteforce,3,ndcs,0.8904604911804199,46.87632708073508
7,mclink,3,ndcs,0.008588790893554688,34.82110039077722
8,bruteforce,3,ndcs,12.122355461120605,65.81063061078669
8,mclink,3,ndcs,0.011573076248168945,41.15649404785985
9,bruteforce,3,ndcs,177.45103311538696,73.04073516163874
9,mclink,3,ndcs,0.01760077476501465,56.935305063910235
3,bruteforce,3,exponential,9.369850158691406e-05,12.050162039517712
3,mclink,3,exponential,0.0026726722717285156,12.050162039517712
4,bruteforce,3,exponential,0.0006620883941650391,22.53434960649389
4,mclink,3,exponential,0.003613710403442383,10.285138082000673
5,bruteforce,3,exponential,0.006659984588623047,45.970360996796856
5,mclink,3,exponential,0.0039000511169433594,25.18084392162553
6,bruteforce,3,exponential,0.07566308975219727,48.044370702877956
6,mclink,3,exponential,0.005034923553466797,34.71382420239404
7,bruteforce,3,exponential,0.9084587097167969,57.6869077508717
7,mclink,3,exponential,0.009988784790039062,37.05113313151488
8,bruteforce,3,exponential,12.159405946731567,80.97993873464233
8,mclink,3,exponential,0.010310888290405273,50.92834821992894
9,bruteforce,3,exponential,179.28541040420532,95.5862859851531
9,mclink,3,exponential,0.017040491104125977,46.78835630177173
3,bruteforce,3,beta,9.393692016601562e-05,4.646681288190964
3,mclink,3,beta,0.002460956573486328,4.646681288190964
4,bruteforce,3,beta,0.0006718635559082031,9.692577470625997
4,mclink,3,beta,0.0047872066497802734,9.609860165976034
5,bruteforce,3,beta,0.0064465999603271484,12.587420602725704
5,mclink,3,beta,0.003805875778198242,11.29864256213323
6,bruteforce,3,beta,0.0734100341796875,15.17973579145681
6,mclink,3,beta,0.007963895797729492,13.708435283535902
7,bruteforce,3,beta,0.8987829685211182,19.41791355398894
7,mclink,3,beta,0.010256052017211914,16.80122981511634
8,bruteforce,3,beta,12.066701412200928,22.3356977949301
8,mclink,3,beta,0.013955354690551758,17.263448719445826
9,bruteforce,3,beta,178.94911360740662,25.585625177743996
9,mclink,3,beta,0.013718128204345703,17.14008814830788
3,bruteforce,3,gamma,9.393692016601562e-05,48.52135794643576
3,mclink,3,gamma,0.0024499893188476562,48.52135794643576
4,bruteforce,3,gamma,0.0006697177886962891,89.00363634165761
4,mclink,3,gamma,0.003066539764404297,89.00363634165761
5,bruteforce,3,gamma,0.006438255310058594,107.89159589146524
5,mclink,3,gamma,0.0038475990295410156,80.2391144011695
6,bruteforce,3,gamma,0.07429957389831543,149.24932900705568
6,mclink,3,gamma,0.004873514175415039,102.4037802395358
7,bruteforce,3,gamma,1.0138108730316162,213.48259284891472
7,mclink,3,gamma,0.010550260543823242,156.06362810779248
8,bruteforce,3,gamma,12.342040538787842,230.3722019581854
8,mclink,3,gamma,0.01162576675415039,145.80996567983476
9,bruteforce,3,gamma,180.73652362823486,277.31035906624385
9,mclink,3,gamma,0.012015104293823242,146.03560146204697
