approach,value,time
fixed_3_100,154.7924188849871,3.4324960708618164
fixed_3_100,154.86389032153306,7.858593463897705
fixed_3_140,208.9133204290084,6.912251949310303
fixed_3_140,210.4524951668801,177.1113007068634
fixed_3_140,211.00289896657114,739.094381570816
hybrid_3_100,148.74972530382865,10.94298505783081
hybrid_3_100,149.35163959878614,12.663816928863525
hybrid_3_100,150.8152860324976,15.624253749847412
hybrid_3_100,151.0964364857364,18.69106101989746
hybrid_3_100,152.86754169531497,19.28031063079834
hybrid_3_100,154.50608321413813,23.411965370178223
hybrid_3_100,155.0980426061243,51.2015426158905
hybrid_3_100,155.1865287801847,80.0384247303009
hybrid_3_100,155.33662840511744,93.64945602416992
hybrid_3_100,155.62291300384697,153.5663824081421
hybrid_3_100,158.55772609806863,181.18520951271057
hybrid_3_100,159.38518599098737,888.6185371875763
hybrid_3_140,221.5877752818604,9.832896709442139
hybrid_3_140,226.17217110659925,20.581915378570557
hybrid_3_140,226.81630847200034,87.1722526550293
hybrid_3_140,227.07691212802018,90.64358520507812
hybrid_3_140,232.11413591158086,150.33991026878357
hybrid_3_140,232.73535114956806,385.00838255882263
hybrid_3_140,233.640092170989,1051.4809317588806
hybrid_3_140,234.89596115023807,2437.0150361061096
